week,meal,meal_name,gender,kcal,protein_g,carbs_g,fat_g,ingredients,method
1,1,กะเพราอกไก่บดคั่วแห้งพริกแห้ง,male,432,45.3,34.5,6.0,อกไก่บดดิบ|180 กรัม (ชาย) / 120 กรัม (หญิง)|กระเทียมจีนสับหยาบ 5 กลีบ|พริกขี้หนูแห้งตำละเอียด 5–8 เม็ด|ใบกะเพราป่า 1 กำมือ|ซอสปรุงรสลดโซเดียม 1 ช้อนชา|ซอสหอยนางรมลดโซเดียม 1 ช้อนชา|สเปรย์น้ำมันมะกอก,ตั้งกระทะเทฟลอนและฉีดสเปรย์น้ำมันบางๆ|คั่วพริกและกระเทียม|ใส่อกไก่บดและยีให้กระจาย|คั่วจนสุกและแห้ง|ปรุงรส|ใส่ใบกะเพรา ผัดเร็วๆ แล้วเสิร์ฟคู่ข้าวไรซ์เบอร์รี่
1,1,กะเพราอกไก่บดคั่วแห้งพริกแห้ง,female,360,31.5,34.5,4.5,อกไก่บดดิบ|180 กรัม (ชาย) / 120 กรัม (หญิง)|กระเทียมจีนสับหยาบ 5 กลีบ|พริกขี้หนูแห้งตำละเอียด 5–8 เม็ด|ใบกะเพราป่า 1 กำมือ|ซอสปรุงรสลดโซเดียม 1 ช้อนชา|ซอสหอยนางรมลดโซเดียม 1 ช้อนชา|สเปรย์น้ำมันมะกอก,ตั้งกระทะเทฟลอนและฉีดสเปรย์น้ำมันบางๆ|คั่วพริกและกระเทียม|ใส่อกไก่บดและยีให้กระจาย|คั่วจนสุกและแห้ง|ปรุงรส|ใส่ใบกะเพรา ผัดเร็วๆ แล้วเสิร์ฟคู่ข้าวไรซ์เบอร์รี่
1,2,สันในไก่ผัดพริกไทยดำสามสี,male,395,43.8,30.1,4.8,สันในไก่ดิบ|180 กรัม (ชาย) / 120 กรัม (หญิง)|พริกหวานสามสี ½ ถ้วย|หอมหัวใหญ่ ¼ หัว|พริกไทยดำบดหยาบ 1 ช้อนชา|ซอสปรุงรสลดโซเดียม 1 ช้อนโต๊ะ|น้ำเปล่า 2 ช้อนโต๊ะ,หมักไก่ 10 นาที|ผัดหอมหัวใหญ่กับน้ำ|ใส่ไก่ผัดจนสุก|ใส่พริกหวาน|ปรุงรสและโรยพริกไทย|เสิร์ฟคู่มันเทศญี่ปุ่นนึ่ง
1,2,สันในไก่ผัดพริกไทยดำสามสี,female,323,30.0,30.1,3.3,สันในไก่ดิบ|180 กรัม (ชาย) / 120 กรัม (หญิง)|พริกหวานสามสี ½ ถ้วย|หอมหัวใหญ่ ¼ หัว|พริกไทยดำบดหยาบ 1 ช้อนชา|ซอสปรุงรสลดโซเดียม 1 ช้อนโต๊ะ|น้ำเปล่า 2 ช้อนโต๊ะ,หมักไก่ 10 นาที|ผัดหอมหัวใหญ่กับน้ำ|ใส่ไก่ผัดจนสุก|ใส่พริกหวาน|ปรุงรสและโรยพริกไทย|เสิร์ฟคู่มันเทศญี่ปุ่นนึ่ง
1,3,ไข่ตุ๋นอกไก่สับนุ่มสูตรคลีน,male,242,29.3,0,3.0,อกไก่บดดิบ|100 กรัม (ชาย) / 50 กรัม (หญิง)|ไข่ไก่ 1 ฟอง (ชาย) / ไข่ขาว 2 ฟอง (หญิง)|น้ำสะอาด 1.5 เท่าของปริมาตรไข่|ซีอิ๊วขาวลดโซเดียม 1 ช้อนชา|ต้นหอม|ผักกาดขาวนึ่ง,ผสมไข่ น้ำ และซีอิ๊ว|ใส่อกไก่ลงถ้วย|กรองส่วนผสม|นึ่งไฟอ่อน 15–20 นาที|โรยต้นหอมและเสิร์ฟกับผัก
1,3,ไข่ตุ๋นอกไก่สับนุ่มสูตรคลีน,female,144,18.7,0,1.7,อกไก่บดดิบ|100 กรัม (ชาย) / 50 กรัม (หญิง)|ไข่ไก่ 1 ฟอง (ชาย) / ไข่ขาว 2 ฟอง (หญิง)|น้ำสะอาด 1.5 เท่าของปริมาตรไข่|ซีอิ๊วขาวลดโซเดียม 1 ช้อนชา|ต้นหอม|ผักกาดขาวนึ่ง,ผสมไข่ น้ำ และซีอิ๊ว|ใส่อกไก่ลงถ้วย|กรองส่วนผสม|นึ่งไฟอ่อน 15–20 นาที|โรยต้นหอมและเสิร์ฟกับผัก
2,1,สันในหมูผัดพริกแกงเผ็ดใต้,male,432,43.5,34.5,7.7,สันในหมูลีน|180 กรัม (ชาย) / 120 กรัม (หญิง)|พริกแกงเผ็ดใต้ 1 ช้อนโต๊ะ|น้ำปลาลดโซเดียม 1 ช้อนชา|ใบมะกรูด 3 ใบ|น้ำเปล่า 3 ช้อนโต๊ะ,ผัดพริกแกงกับน้ำ|ใส่หมูและผัดจนสุก|ปรุงรส|คั่วจนน้ำงวด|โรยใบมะกรูดและเสิร์ฟคู่ข้าวไรซ์เบอร์รี่
2,1,สันในหมูผัดพริกแกงเผ็ดใต้,female,360,30.3,34.5,5.6,สันในหมูลีน|180 กรัม (ชาย) / 120 กรัม (หญิง)|พริกแกงเผ็ดใต้ 1 ช้อนโต๊ะ|น้ำปลาลดโซเดียม 1 ช้อนชา|ใบมะกรูด 3 ใบ|น้ำเปล่า 3 ช้อนโต๊ะ,ผัดพริกแกงกับน้ำ|ใส่หมูและผัดจนสุก|ปรุงรส|คั่วจนน้ำงวด|โรยใบมะกรูดและเสิร์ฟคู่ข้าวไรซ์เบอร์รี่
2,2,อกไก่ย่างอบสมุนไพรออริกาโน่,male,438,44.6,40.2,4.9,อกไก่ลอกหนัง|180 กรัม (ชาย) / 120 กรัม (หญิง)|ออริกาโน่ 1 ช้อนชา|ผงกระเทียม 1 ช้อนชา|เกลือชมพู ½ ช้อนชา|พริกไทยดำ|บร็อคโคลี่หรือฟักทอง,หมักเครื่องเทศ 15 นาที|อบ 180°C 10 นาที|กลับด้านอบอีก 5–7 นาที|จัดใส่กล่องเคียงผัก
2,2,อกไก่ย่างอบสมุนไพรออริกาโน่,female,366,30.8,40.2,3.3,อกไก่ลอกหนัง|180 กรัม (ชาย) / 120 กรัม (หญิง)|ออริกาโน่ 1 ช้อนชา|ผงกระเทียม 1 ช้อนชา|เกลือชมพู ½ ช้อนชา|พริกไทยดำ|บร็อคโคลี่หรือฟักทอง,หมักเครื่องเทศ 15 นาที|อบ 180°C 10 นาที|กลับด้านอบอีก 5–7 นาที|จัดใส่กล่องเคียงผัก
2,3,แกงจืดไข่น้ำใส่สันในหมูสับปั้นก้อน,male,302,39.3,0,5.7,สันในหมูสับลีน|150 กรัม (ชาย) / 100 กรัม (หญิง)|ไข่ไก่ 1 ฟอง|ผักกาดขาว 2 ถ้วย|ซีอิ๊วขาวลดโซเดียม 1 ช้อนโต๊ะ|น้ำ 3 ถ้วย|รากผักชีและพริกไทยเม็ด,ทำไข่น้ำ|ต้มน้ำกับสมุนไพร|ปั้นหมูเป็นก้อนต้มจนสุก|ใส่ผักและไข่น้ำ|ปรุงรส
2,3,แกงจืดไข่น้ำใส่สันในหมูสับปั้นก้อน,female,242,28.3,0,3.9,สันในหมูสับลีน|150 กรัม (ชาย) / 100 กรัม (หญิง)|ไข่ไก่ 1 ฟอง|ผักกาดขาว 2 ถ้วย|ซีอิ๊วขาวลดโซเดียม 1 ช้อนโต๊ะ|น้ำ 3 ถ้วย|รากผักชีและพริกไทยเม็ด,ทำไข่น้ำ|ต้มน้ำกับสมุนไพร|ปั้นหมูเป็นก้อนต้มจนสุก|ใส่ผักและไข่น้ำ|ปรุงรส
3,1,เนื้อวัวลีนคั่วกะเพราป่าพริกแห้ง,male,463,41.7,34.5,10.3,เนื้อวัวลีนสับ|180 กรัม (ชาย) / 120 กรัม (หญิง)|กระเทียม 5 กลีบ|พริกแห้ง 5 เม็ด|ใบกะเพรา 1 กำมือ|ซีอิ๊วขาว 1 ช้อนชา|เกลือชมพู,คั่วพริกและกระเทียม|ใส่เนื้อและผัดเร็ว|ปรุงรส|ใส่ใบกะเพรา|เสิร์ฟคู่ข้าวไรซ์เบอร์รี่
3,1,เนื้อวัวลีนคั่วกะเพราป่าพริกแห้ง,female,381,29.1,34.5,7.3,เนื้อวัวลีนสับ|180 กรัม (ชาย) / 120 กรัม (หญิง)|กระเทียม 5 กลีบ|พริกแห้ง 5 เม็ด|ใบกะเพรา 1 กำมือ|ซีอิ๊วขาว 1 ช้อนชา|เกลือชมพู,คั่วพริกและกระเทียม|ใส่เนื้อและผัดเร็ว|ปรุงรส|ใส่ใบกะเพรา|เสิร์ฟคู่ข้าวไรซ์เบอร์รี่
3,2,สเต็กสันในไก่พริกไทยดำอบร้อน,male,395,43.8,30.1,4.8,สันในไก่|180 กรัม (ชาย) / 120 กรัม (หญิง)|ซอสพริกไทยดำลดโซเดียม 1 ช้อนโต๊ะ|พริกไทยดำ ½ ช้อนชา|บร็อคโคลี่|มันเทศญี่ปุ่น,หมักอย่างน้อย 15 นาที|อบ 180°C 8–10 นาที|ตรวจสอบว่าไก่สุก|เสิร์ฟกับมันเทศและบร็อคโคลี่
3,2,สเต็กสันในไก่พริกไทยดำอบร้อน,female,323,30.0,30.1,3.3,สันในไก่|180 กรัม (ชาย) / 120 กรัม (หญิง)|ซอสพริกไทยดำลดโซเดียม 1 ช้อนโต๊ะ|พริกไทยดำ ½ ช้อนชา|บร็อคโคลี่|มันเทศญี่ปุ่น,หมักอย่างน้อย 15 นาที|อบ 180°C 8–10 นาที|ตรวจสอบว่าไก่สุก|เสิร์ฟกับมันเทศและบร็อคโคลี่
3,3,ลาบอกไก่บดนึ่งสมุนไพรไทย,male,230,34.5,0,3.9,อกไก่บดดิบ|150 กรัม (ชาย) / 100 กรัม (หญิง)|ข้าวคั่ว 1 ช้อนชา|พริกป่น ½ ช้อนชา|น้ำมะนาว 1 ช้อนโต๊ะ|น้ำปลาลดโซเดียม 1 ช้อนชา|หอมแดง 3 หัว|ผักชีฝรั่งและต้นหอม|กะหล่ำปลี,รวนไก่กับน้ำจนสุก|ปรุงด้วยน้ำปลา มะนาว และพริก|ใส่ข้าวคั่วและสมุนไพร|คลุกให้เข้ากัน|เสิร์ฟกับกะหล่ำปลี
